Project name, date added(YYYY-MM-DD), link to YML file
CubeFactory, 2019-10-04,https://raw.githubusercontent.com/CubeFactory2/cubefactory/master/okh-cubefactory.yml
Flypi, 2019-10-06, https://raw.githubusercontent.com/amchagas/Flypi/master/okh-flypi.yml
Adjustabike, 2019-10-07, https://raw.githubusercontent.com/JamieTaylor23/Adjustabike/master/okh-adjustabike.yml
Raidlight-Responsiv, 2019-10-07, https://raw.githubusercontent.com/Raidlight/Projet-Pilote-Open-Source/master/okh-Raidlight-Responsiv.yml
Ball-Sorting-Machine, 2019-10-07, https://raw.githubusercontent.com/jbon/Ball-Machine/master/okh-ballSortingMachine.yml
Spikeling, 2019-10-15, https://raw.githubusercontent.com/BadenLab/Spikeling/master/okh-spikeling.yml
OpenSpritzer, 2019-10-15, https://raw.githubusercontent.com/BadenLab/Openspritzer/master/okh-openspritzer.yml
Led Zappelin, 2019-10-15, https://raw.githubusercontent.com/BadenLab/LED-Zappelin/master/okh-LED-Zappelin.yml
hyperspectral scanner, 2019-10-15, https://raw.githubusercontent.com/BadenLab/Hyperspectral-scanner/master/okh-hyperspectral-scanner.yml
open visual stimulator, 2019-10-06, https://raw.githubusercontent.com/eulerlab/open-visual-stimulator/master/okh-open-visual-stimulator.yml
Raspberry Pi Camera Calibration Jig, 2019-11-14, https://gitlab.com/bath_open_instrumentation_group/picamera_cra_compensation/-/raw/master/okh-calibration_jig.yml
Actifield, 2019-11-16, https://raw.githubusercontent.com/trendinafrica/actifield/master/okh-actifield.yml
Syringe Pump, 2019-11-16, https://raw.githubusercontent.com/FOSH-following-demand/Syringe_Pump/master/okh-syringe-pump.yml
Incubator, 2019-11-16, https://raw.githubusercontent.com/FOSH-following-demand/Incubator/master/okh-incubator.yml
NYC-MTA-Next-Train, 2019-11-16, https://raw.githubusercontent.com/mwweinberg/NYC-MTA-Next-Train/master/okh-nycmtapi.yml
ZACplus, 2019-11-15, https://raw.githubusercontent.com/case06/ZACplus/master/okh-ZACplus.yml
OpenFlexure Microscope, 2020-02-13, https://gitlab.com/openflexure/openflexure-microscope/-/raw/master/okh.yml
OpenFlexure Block Stage, 2020-02-13, https://gitlab.com/openflexure/openflexure-block-stage/-/raw/master/okh-openflexure-block-stage.yml
OpenFlexure Delta Stage, 2020-02-26, https://gitlab.com/openflexure/openflexure-delta-stage/-/raw/master/okh-OpenFlexureDeltaStage.yml
Mech-Jiwe, 2020-02-26, https://gitlab.com/bath_open_instrumentation_group/mech-jiwe/-/raw/master/okh-MechJiwe.yml
OSP: An Open-source Plate Reader, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/OSP/master/okh-OSP.yml
Fermento, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/Fermento/master/okh-Fermento.yml
Microscope incubation box, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/microscope-incubation-box/master/okh-microscope-incubation-box.yml
lightM, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/lightM/master/okh-lightm.yml
The Test Tube Photometer, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/test_tube_photometer/master/okh-test-tube-photometer.yml
OttoDIY, 2020-02-27, https://raw.githubusercontent.com/jbon/OttoDIY/patch-1/okh-OttoDIY.yml
Poseidon, 2020-02-28, https://raw.githubusercontent.com/OKH-Forks/poseidon/release/okh-poseidon.yml
Arduino voltage amplifier, 2020-02-29, https://raw.githubusercontent.com/Sussex-Neuroscience/voltage-amplifier/master/okh-arduino-voltage-amplifier.yml
